skv,X,Y,Z,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
25,472959.8321326001,89880.6970304,16.85,4.0,3.95,-1.85,8.8,1.84,2.67,0.579,20.06,16.11,,15.68,22.78,1.69,0.064,Q,L.epIII-H
20,473110.2251002,89866.5193592,12.1,6.0,3.38,-1.79,10.5,1.79,2.67,0.648,19.92,16.54,,15.82,23.27,1.62,0.038,Q,L.epIII-H
18,472997.786596,89870.10359439999,13.32,7.0,4.62,-1.46,9.59,1.79,2.67,0.635,20.96,16.34,,14.84,27.33,1.63,0.034,Q,L.epIII-H
25,472959.8321326001,89880.6970304,12.85,8.0,3.95,-1.4,10.85,1.82,2.67,0.626,20.33,16.38,,14.84,27.02,1.64,0.045,Q,L.epIII-H
23,472735.22510260006,89881.9765408,11.34,8.8,13.1,0.1,19.93,1.91,2.72,0.708,34.3,21.2,,11.42614028,16.7,1.59,0.043,Q,L.epIII-H
209,462136.74304900004,89612.9661712,27.63,5.8,19.6,0.07,20.3,1.93,2.73,0.7020000000000001,38.6,19.0,,,22.0,1.6,,Q,L.epIII-H
224,462740.50099450006,89415.1158528,31.53,7.0,16.7,0.09,17.6,1.87,2.76,0.735,32.8,16.1,,,22.0,1.59,,Q,L.epIII-H
217,462472.38994510006,89502.851988,21.16,18.6,10.0,0.23,17.6,1.98,2.73,0.626,25.3,15.3,,,17.0,1.68,,Q,L.epIII-H
25,472959.8321326001,89880.6970304,17.85,3.0,13.4,-0.15,16.58,1.66,2.7,0.8959999999999999,31.94,18.54,22.05,8.364110259,22.05,1.42,0.015,Q,L.epIII-H
4,472435.2791002,89871.9238184,11.08,10.0,11.63,0.34,23.33,1.81,2.69,0.833,30.99,19.36,18.26,,22.6,1.47,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,16.53,4.0,3.19,-1.87,10.0,1.77,2.67,0.659,19.16,15.97,,19.04,26.57,1.61,0.02,Q,L.epIII-H
17,472997.7341002,89862.48274479999,17.6,2.0,3.97,-1.55,9.1,1.75,2.67,0.665,19.24,15.27,,17.01,25.87,1.6,0.037000000000000005,Q,L.epIII-H
20,473110.2251002,89866.5193592,16.1,2.0,4.29,-1.27,12.11,1.81,2.67,0.654,21.85,17.56,,15.89,26.34,1.61,0.053,Q,L.epIII-H
12,472660.2611002,89871.21982,15.21,4.0,11.0,-0.82,14.0,1.83,2.71,0.688,34.0,23.0,,8.984649141,15.64,1.61,0.018000000000000002,Q,L.epIII-H
11,472660.2611002,89864.02725839999,16.9,2.0,8.95,-0.69,15.3,1.92,2.7,0.621,30.45,21.5,,17.63266935,20.56,1.67,0.02,Q,L.epIII-H
11,472660.2611002,89864.02725839999,14.9,4.0,13.1,-0.67,14.8,1.85,2.7,0.675,36.7,23.6,,16.50932508,18.0,1.61,0.011000000000000001,Q,L.epIII-H
12,472660.2611002,89871.21982,17.21,2.0,11.69,-0.46,17.3,1.85,2.71,0.718,34.4,22.71,,8.807663391,13.5,1.58,0.012,Q,L.epIII-H
21,472496.16672880005,89881.8293168,20.6,1.0,10.87,-0.37,15.18,1.64,2.7,0.8959999999999999,30.1,19.23,,8.893837242,20.3,1.42,0.028999999999999998,Q,L.epIII-H
21,472496.16672880005,89881.8293168,16.6,5.0,15.49,-0.36,14.49,1.96,2.71,0.583,35.6,20.11,,12.48692644,25.87,1.71,0.012,Q,L.epIII-H
12,472660.2611002,89871.21982,11.21,8.0,13.0,-0.31,16.0,1.93,2.72,0.635,33.0,20.0,,15.84214221,23.04,1.66,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,18.53,2.0,11.67,-0.3,14.64,1.46,2.68,1.104,29.8,18.13,,7.27200746,19.29,1.27,0.017,Q,L.epIII-H
